temps = 206.50	sensor = 260	 temperature = 185.80	 relai = 0
temps = 207.00	sensor = 260	 temperature = 185.80	 relai = 0
temps = 207.50	sensor = 260	 temperature = 185.80	 relai = 0
temps = 208.00	sensor = 260	 temperature = 185.80	 relai = 0
temps = 208.50	sensor = 260	 temperature = 185.80	 relai = 0
temps = 209.00	sensor = 260	 temperature = 185.80	 relai = 0
temps = 209.50	sensor = 260	 temperature = 185.80	 relai = 0
temps = 210.00	sensor = 261	 temperature = 187.73	 relai = 0
temps = 210.50	sensor = 261	 temperature = 187.73	 relai = 0
temps = 211.00	sensor = 261	 temperature = 187.73	 relai = 0
temps = 211.50	sensor = 261	 temperature = 187.73	 relai = 0
temps = 212.00	sensor = 261	 temperature = 187.73	 relai = 0
temps = 212.50	sensor = 262	 temperature = 189.66	 relai = 0
temps = 213.00	sensor = 262	 temperature = 189.66	 relai = 0
temps = 213.50	sensor = 262	 temperature = 189.66	 relai = 0
temps = 214.00	sensor = 262	 temperature = 189.66	 relai = 0
temps = 214.50	sensor = 263	 temperature = 191.59	 relai = 0
temps = 215.00	sensor = 263	 temperature = 191.59	 relai = 0
temps = 215.50	sensor = 263	 temperature = 191.59	 relai = 0
temps = 216.00	sensor = 263	 temperature = 191.59	 relai = 0
temps = 216.50	sensor = 263	 temperature = 191.59	 relai = 0
temps = 217.00	sensor = 263	 temperature = 191.59	 relai = 0
temps = 217.50	sensor = 264	 temperature = 193.52	 relai = 0
temps = 218.00	sensor = 264	 temperature = 193.52	 relai = 0
temps = 218.50	sensor = 264	 temperature = 193.52	 relai = 0
temps = 219.00	sensor = 264	 temperature = 193.52	 relai = 0
temps = 219.50	sensor = 264	 temperature = 193.52	 relai = 0
temps = 220.00	sensor = 264	 temperature = 193.52	 relai = 0
