temps = 168.50	sensor = 230	 temperature = 0.00	 relai = 1
temps = 169.00	sensor = 230	 temperature = 0.00	 relai = 1
temps = 169.50	sensor = 230	 temperature = 0.00	 relai = 1
temps = 170.00	sensor = 231	 temperature = 0.00	 relai = 1
temps = 170.50	sensor = 231	 temperature = 0.00	 relai = 1
temps = 171.00	sensor = 231	 temperature = 0.00	 relai = 1
temps = 171.50	sensor = 232	 temperature = 0.00	 relai = 1
temps = 172.00	sensor = 232	 temperature = 0.00	 relai = 1
temps = 172.50	sensor = 232	 temperature = 0.00	 relai = 1
temps = 173.00	sensor = 233	 temperature = 0.00	 relai = 1
temps = 173.50	sensor = 233	 temperature = 0.00	 relai = 1
temps = 174.00	sensor = 233	 temperature = 0.00	 relai = 1
temps = 174.50	sensor = 233	 temperature = 0.00	 relai = 1
temps = 175.00	sensor = 234	 temperature = 0.00	 relai = 1
temps = 175.50	sensor = 234	 temperature = 0.00	 relai = 1
temps = 176.00	sensor = 234	 temperature = 0.00	 relai = 1
temps = 176.50	sensor = 235	 temperature = 0.00	 relai = 1
temps = 177.00	sensor = 235	 temperature = 0.00	 relai = 1
temps = 177.50	sensor = 235	 temperature = 0.00	 relai = 1
temps = 178.00	sensor = 235	 temperature = 0.00	 relai = 1
temps = 178.50	sensor = 236	 temperature = 0.00	 relai = 1
temps = 179.00	sensor = 236	 temperature = 0.00	 relai = 1
temps = 179.50	sensor = 236	 temperature = 0.00	 relai = 1
temps = 180.00	sensor = 236	 temperature = 0.00	 relai = 1
temps = 180.50	sensor = 237	 temperature = 0.00	 relai = 1
temps = 181.00	sensor = 237	 temperature = 0.00	 relai = 1
temps = 181.50	sensor = 237	 temperature = 0.00	 relai = 1
temps = 182.00	sensor = 238	 temperature = 0.00	 relai = 1
temps = 182.50	sensor = 238	 temperature = 0.00	 relai = 1
temps = 183.00	sensor = 238	 temperature = 0.00	 relai = 1
temps = 183.50	sensor = 239	 temperature = 0.00	 relai = 1
temps = 184.00	sensor = 239	 temperature = 0.00	 relai = 1
temps = 184.50	sensor = 239	 temperature = 0.00	 relai = 1
temps = 185.00	sensor = 239	 temperature = 0.00	 relai = 1
temps = 185.50	sensor = 240	 temperature = 0.00	 relai = 1
temps = 186.00	sensor = 240	 temperature = 0.00	 relai = 1
temps = 186.50	sensor = 240	 temperature = 0.00	 relai = 1
temps = 187.00	sensor = 240	 temperature = 0.00	 relai = 1
temps = 187.50	sensor = 241	 temperature = 0.00	 relai = 1
temps = 188.00	sensor = 241	 temperature = 0.00	 relai = 1
temps = 188.50	sensor = 241	 temperature = 0.00	 relai = 1
temps = 189.00	sensor = 241	 temperature = 0.00	 relai = 1
temps = 189.50	sensor = 242	 temperature = 0.00	 relai = 1
temps = 190.00	sensor = 242	 temperature = 0.00	 relai = 1
temps = 190.50	sensor = 242	 temperature = 0.00	 relai = 1
temps = 191.00	sensor = 243	 temperature = 0.00	 relai = 1
temps = 191.50	sensor = 243	 temperature = 0.00	 relai = 1
temps = 192.00	sensor = 243	 temperature = 0.00	 relai = 1
temps = 192.50	sensor = 243	 temperature = 0.00	 relai = 1
temps = 193.00	sensor = 244	 temperature = 0.00	 relai = 1
temps = 193.50	sensor = 244	 temperature = 0.00	 relai = 1
temps = 194.00	sensor = 244	 temperature = 0.00	 relai = 1
temps = 194.50	sensor = 244	 temperature = 0.00	 relai = 1
temps = 195.00	sensor = 245	 temperature = 0.00	 relai = 1
temps = 195.50	sensor = 245	 temperature = 0.00	 relai = 1
temps = 196.00	sensor = 245	 temperature = 0.00	 relai = 1
temps = 196.50	sensor = 245	 temperature = 0.00	 relai = 1
temps = 197.00	sensor = 246	 temperature = 0.00	 relai = 1
temps = 197.50	sensor = 246	 temperature = 0.00	 relai = 1
temps = 198.00	sensor = 246	 temperature = 0.00	 relai = 1
temps = 198.50	sensor = 247	 temperature = 0.00	 relai = 1
temps = 199.00	sensor = 247	 temperature = 0.00	 relai = 1
temps = 199.50	sensor = 247	 temperature = 0.00	 relai = 1
temps = 200.00	sensor = 247	 temperature = 0.00	 relai = 1
temps = 200.50	sensor = 248	 temperature = 0.00	 relai = 1
temps = 201.00	sensor = 248	 temperature = 0.00	 relai = 1
temps = 201.50	sensor = 248	 temperature = 0.00	 relai = 1
temps = 202.00	sensor = 248	 temperature = 0.00	 relai = 1
temps = 202.50	sensor = 249	 temperature = 0.00	 relai = 1
temps = 203.00	sensor = 249	 temperature = 0.00	 relai = 1
